Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Bencke J., van den Tillaar R., Møller M., Wagner H.","6602699399;6602938090;55201479300;24726367900;","Throwing biomechanics: Aspects of throwing performance and shoulder injury risk",2017,"Handbook of Methods in Leadership Research",,,,"69","79",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084249278&partnerID=40&md5=64c5938ae8173d62c9b82dd8a79aff12","Human Movement Analysis Laboratory, Copenhagen University Hospital, Amager-Hvidovre, Denmark; Department of Sport Science and Physical Education, Nord University, Levanger, Norway; Department of Sports Science and Clinical Biomechanics, University of Southern Denmark, Odense, Denmark; IFFB Sport Science and Kinesiology, University of Salzburg, Salzburg, Austria","Bencke, J., Human Movement Analysis Laboratory, Copenhagen University Hospital, Amager-Hvidovre, Denmark; van den Tillaar, R., Department of Sport Science and Physical Education, Nord University, Levanger, Norway; Møller, M., Department of Sports Science and Clinical Biomechanics, University of Southern Denmark, Odense, Denmark; Wagner, H., IFFB Sport Science and Kinesiology, University of Salzburg, Salzburg, Austria",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85084249278
"Michalsik L.B.","6506265216;","On-Court physical demands and physiological aspects in elite team handball",2017,"Handbook of Methods in Leadership Research",,,,"15","33",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084248878&partnerID=40&md5=7e684b806ddcaa6677d62e29af09931e","Department of Sport Science and Clinical Biomechanics, Muscle Physiology and Biomechanics Research Unit, University of Southern Denmark, Odense, Denmark","Michalsik, L.B., Department of Sport Science and Clinical Biomechanics, Muscle Physiology and Biomechanics Research Unit, University of Southern Denmark, Odense, Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85084248878
"Asker M., Møller M.","56131884900;55201479300;","Training load issues in young handball players",2017,"Handbook of Methods in Leadership Research",,,,"583","595",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084248408&partnerID=40&md5=efd5d2506ad87058635cf78467149475","Musculoskeletal and Sports Injury Epidemiology Center, IMM, Karolinska Institutet, Stockholm, Sweden; Department of Sports Science and Clinical, Biomechanics, University of Southern Denmark, Odense, Denmark","Asker, M., Musculoskeletal and Sports Injury Epidemiology Center, IMM, Karolinska Institutet, Stockholm, Sweden; Møller, M., Department of Sports Science and Clinical, Biomechanics, University of Southern Denmark, Odense, Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85084248408
"Zebis M.K., Bencke J.","16641697800;6602699399;","Biomechanical aspects in handball: Lower limb",2017,"Handbook of Methods in Leadership Research",,,,"61","68",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084247605&partnerID=40&md5=eb9f6264c00b01e5805385a82c934134","Department of Physiotherapy and Occupational Therapy, Metropolitan University College, Copenhagen N, Denmark; Human Movement Analysis Laboratory, Copenhagen University Hospital, Amager-Hvidovre, Denmark","Zebis, M.K., Department of Physiotherapy and Occupational Therapy, Metropolitan University College, Copenhagen N, Denmark; Bencke, J., Human Movement Analysis Laboratory, Copenhagen University Hospital, Amager-Hvidovre, Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85084247605
"Myklebust G., Zebis M.K., Andersson S.H.","7003895328;16641697800;56342723300;","Injury prevention in Handball",2017,"Handbook of Methods in Leadership Research",,,,"403","412",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084247331&partnerID=40&md5=1086c40dc7cd1857a051e770865a4612","Department of Sports Medicine, Oslo Sports Trauma Research Center, Norwegian School of Sport Sciences, Oslo, Norway; Department of Physiotherapy and Occupational Therapy, Metropolitan University College, Copenhagen, Denmark","Myklebust, G., Department of Sports Medicine, Oslo Sports Trauma Research Center, Norwegian School of Sport Sciences, Oslo, Norway; Zebis, M.K., Department of Physiotherapy and Occupational Therapy, Metropolitan University College, Copenhagen, Denmark; Andersson, S.H., Department of Sports Medicine, Oslo Sports Trauma Research Center, Norwegian School of Sport Sciences, Oslo, Norway",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85084247331
"Hölmich P., Ishøi L., Wurm M., Mei-Dan O., Laver L.","55961966200;56971622400;57189320339;8212109100;36677606000;","Hip, groin, and abdominal injuries in handball",2017,"Handbook of Methods in Leadership Research",,,,"243","260",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084247309&partnerID=40&md5=155ec8b475a24893354032403aa61fb2","Department of Orthopedic Surgery, Sports Orthopedic Research Center-Copenhagen (SORC-C), Arthroscopic Center, Copenhagen University Hospital, Amager-Hvidovre, Denmark; The Technical University of Munich, Munich, Germany; Department of Orthopaedics, University of Colorado Hospital, Boulder, CO, United States; Department of Trauma and Orthopaedics, University Hospitals Coventry and Warwickshire, Coventry, United Kingdom; Department of Arthroscopy, Royal Orthopaedic Hospital, Birmingham, United Kingdom","Hölmich, P., Department of Orthopedic Surgery, Sports Orthopedic Research Center-Copenhagen (SORC-C), Arthroscopic Center, Copenhagen University Hospital, Amager-Hvidovre, Denmark; Ishøi, L., Department of Orthopedic Surgery, Sports Orthopedic Research Center-Copenhagen (SORC-C), Arthroscopic Center, Copenhagen University Hospital, Amager-Hvidovre, Denmark; Wurm, M., The Technical University of Munich, Munich, Germany; Mei-Dan, O., Department of Orthopaedics, University of Colorado Hospital, Boulder, CO, United States; Laver, L., Department of Trauma and Orthopaedics, University Hospitals Coventry and Warwickshire, Coventry, United Kingdom, Department of Arthroscopy, Royal Orthopaedic Hospital, Birmingham, United Kingdom",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85084247309
"Hansen M., Dalgaard L.B., Zebis M.K., Gliemann L., Melin A., Torstveit M.K.","7401874438;57202499906;16641697800;55820846000;57214626412;6603015431;","The female handball player",2017,"Handbook of Methods in Leadership Research",,,,"553","569",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084245913&partnerID=40&md5=20276b978e7221cb1162ca9e12c8aa68","Section for Sport Science, Department for Public Health, Aarhus University, Aarhus, Denmark; Metropolitan University College, Copenhagen, Denmark; Integrative Physiology Group, Section of Human Physiology, Department of Nutrition, Exercise and Sports (NEXS), University of Copenhagen, Copenhagen, Denmark; Section for Preventive and Clinical Nutrition, Department of Nutrition, Exercise and Sports, University of Copenhagen, Copenhagen, Denmark; Institute of Public Health, Sport and Nutrition, University of Agder, Kristiansand, Norway","Hansen, M., Section for Sport Science, Department for Public Health, Aarhus University, Aarhus, Denmark; Dalgaard, L.B., Section for Sport Science, Department for Public Health, Aarhus University, Aarhus, Denmark; Zebis, M.K., Metropolitan University College, Copenhagen, Denmark; Gliemann, L., Integrative Physiology Group, Section of Human Physiology, Department of Nutrition, Exercise and Sports (NEXS), University of Copenhagen, Copenhagen, Denmark; Melin, A., Section for Preventive and Clinical Nutrition, Department of Nutrition, Exercise and Sports, University of Copenhagen, Copenhagen, Denmark; Torstveit, M.K., Institute of Public Health, Sport and Nutrition, University of Agder, Kristiansand, Norway",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85084245913
"Iacono A.D., Karcher C., Michalsik L.B.","57199648980;56078935600;6506265216;","Physical training in team handball",2017,"Handbook of Methods in Leadership Research",,,,"521","535",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078435332&partnerID=40&md5=97e31e84f1df5e24bb9ac3d32d6866f8","The Academic College at Wingate, Wingate Institute Netanya, Israel; Maccabi Tel Aviv FC, Tel Aviv, Israel; Laboratory of Exercise Physiology and Rehabilitation, University of Picardie, Amiens, France; Muscle Physiology and Biomechanics Research Unit, Department of Sport Science and Clinical Biomechanics, University of Southern Denmark, Odense, Denmark","Iacono, A.D., The Academic College at Wingate, Wingate Institute Netanya, Israel, Maccabi Tel Aviv FC, Tel Aviv, Israel; Karcher, C., Laboratory of Exercise Physiology and Rehabilitation, University of Picardie, Amiens, France; Michalsik, L.B., Muscle Physiology and Biomechanics Research Unit, Department of Sport Science and Clinical Biomechanics, University of Southern Denmark, Odense, Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85078435332
"Møller M., Ageberg E., Bencke J., Zebis M.K., Myklebust G.","55201479300;6602685771;6602699399;16641697800;7003895328;","Implementing handball injury prevention exercise programs: A practical guideline",2017,"Handbook of Methods in Leadership Research",,,,"413","432",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071921207&partnerID=40&md5=b8a66cd0a48536f52139b2ae0fa13161","Department of Sports Science and Clinical Biomechanics, University of Southern Denmark, Odense, Denmark; Department of Health Sciences, Lund University, Lund, Sweden; Human Movement Analysis Laboratory, Copenhagen University Hospital, Copenhagen, Denmark; Department of Physiotherapy and Occupational Therapy, Metropolitan University College, Copenhagen, Denmark; Department of Sports Medicine, Oslo Sports Trauma Research Center, Norwegian School of Sport Sciences, Oslo, Norway","Møller, M., Department of Sports Science and Clinical Biomechanics, University of Southern Denmark, Odense, Denmark; Ageberg, E., Department of Health Sciences, Lund University, Lund, Sweden; Bencke, J., Human Movement Analysis Laboratory, Copenhagen University Hospital, Copenhagen, Denmark; Zebis, M.K., Department of Physiotherapy and Occupational Therapy, Metropolitan University College, Copenhagen, Denmark; Myklebust, G., Department of Sports Medicine, Oslo Sports Trauma Research Center, Norwegian School of Sport Sciences, Oslo, Norway",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85071921207
"Setuain I., Bencke J., Alfaro-Adrián J., Izquierdo M.","44061926500;6602699399;6602497806;7103111881;","A biomechanical perspective on rehabilitation of ACL injuries in Handball",2017,"Handbook of Methods in Leadership Research",,,,"493","504",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067891784&partnerID=40&md5=b8376d1b3f50f36b35f6648db37c61b5","Department of Health Sciences, Public University of Navarra, Navarra, Spain; Clinical Research Department, Advanced Rehabilitation Center, TDN, Pamplona, Spain; Department of Orthopedics, Human Movement Analysis Laboratory, Copenhagen University Hospital Hvidovre, Hvidovre, Denmark; Clinical Research Department, Advanced Rehabilitation Center, TDN, Pamplona, Spain; Department of Health Sciences, Public University of Navarra, Navarra, Spain","Setuain, I., Department of Health Sciences, Public University of Navarra, Navarra, Spain, Clinical Research Department, Advanced Rehabilitation Center, TDN, Pamplona, Spain; Bencke, J., Department of Orthopedics, Human Movement Analysis Laboratory, Copenhagen University Hospital Hvidovre, Hvidovre, Denmark; Alfaro-Adrián, J., Clinical Research Department, Advanced Rehabilitation Center, TDN, Pamplona, Spain; Izquierdo, M., Department of Health Sciences, Public University of Navarra, Navarra, Spain",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85067891784
"Seppanen M., Hyrynsalmi S., Manikas K., Suominen A.","8093091000;50361307000;6506359449;37003266700;","Yet another ecosystem literature review: 10+1 Research communities",2017,"Proceedings of the 2017 IEEE European Technology and Engineering Management Summit, E-TEMS 2017","2017-January",,"8244229","1","8",,12,"10.1109/E-TEMS.2017.8244229","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050232256&doi=10.1109%2fE-TEMS.2017.8244229&partnerID=40&md5=83999b67f6934c78734067ee9c1936f0","Tampere University of Technology, Pori, Finland; IT University of Copenhagen and DHI Group, Hrsholm, Denmark; VTT Technical Research Centre of Finland, Espoo, Finland","Seppanen, M., Tampere University of Technology, Pori, Finland; Hyrynsalmi, S., Tampere University of Technology, Pori, Finland; Manikas, K., IT University of Copenhagen and DHI Group, Hrsholm, Denmark; Suominen, A., VTT Technical Research Centre of Finland, Espoo, Finland","The field of non-biological ecosystem studies is riddled with different kind of ecosystems, connections and relations of which are rarely discussed. For example, the field of software ecosystems is influenced by both natural and business ecosystems, as studies have identified a strong inspiration from both. In this study, we survey the ecosystem literature and identify how different types of ecosystems as much as their aspects appear in a wide literature scope. Using a bibliometric approach, our study reveals a literature body of 2,271 documents published from 1990 onward. Our analysis identifies 11 distinct research communities with one of them focusing on software ecosystems. Furthermore, it also reveals that, although the different communities are rather connected with each other, the software ecosystems community appears as an outlier, with little connections to other communities. When examining the software ecosystem community, consisted of 147 publications, we identify four distinct thematic clusters. We characterize these clusters by their theoretical background and uncover lack of a prevailing theoretical theme. Thus, this study calls for a formation of a research agenda for the software ecosystem field. © 2017 IEEE.","bibliometric; research Agenda; Software ecosystem","Engineering; Industrial engineering; Bibliometric; Biological ecosystem; Business ecosystem; Literature reviews; Research agenda; Research communities; Software ecosystems; Ecosystems",Conference Paper,"Final","",Scopus,2-s2.0-85050232256
