Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Parris K.M., Amati M., Bekessy S.A., Dagenais D., Fryd O., Hahs A.K., Hes D., Imberger S.J., Livesley S.J., Marshall A.J., Rhodes J.R., Threlfall C.G., Tingley R., van der Ree R., Walsh C.J., Wilkerson M.L., Williams N.S.G.","7003402934;13002777700;7801623734;36846502800;36173986500;15053114500;25622542500;24779282600;8358544400;57202547806;57211633993;25947861600;36901885500;6603287551;57200282905;55313277500;57203201972;","The seven lamps of planning for biodiversity in the city",2018,"Cities","83",,,"44","53",,51,"10.1016/j.cities.2018.06.007","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048732668&doi=10.1016%2fj.cities.2018.06.007&partnerID=40&md5=3407506b02fcbc9c2d230ed9abdeada6","School of Ecosystem and Forest Sciences, The University of Melbourne, Parkville, VIC  3010, Australia; School of Global, Urban and Social Studies, RMIT University, GPO Box 2476, Melbourne, VIC  3001, Australia; School of Urban Planning and Landscape Architecture, Faculty of Environmental Design, University of Montreal, P.O. Box 6128, Downtown Station, Montreal, Quebec  H3C 3J7, Canada; Department of Geosciences and Natural Resource Management, University of Copenhagen, Rolighedsvej 23, Frederiksberg C, DK-1958, Denmark; School of BioSciences, The University of Melbourne, Parkville, VIC  3010, Australia; Urban Ecology in Action, 15 Dawson St South, Ballarat, VIC  3350, Australia; Faculty of Architecture, Building and Planning, The University of Melbourne, Parkville, VIC  3010, Australia; School of Ecosystem and Forest Sciences, The University of Melbourne, 500 Yarra Boulevard, Richmond, VIC  3121, Australia; School of Geography, Planning and Environmental Management, The University of Queensland, Brisbane, QLD  4072, Australia; Ecology and Infrastructure International, Wantirna, VIC  3152, Australia; Department of Plant Sciences, University of California, 1 Shields Ave, Davis, CA  95616, United States; United States Agency for International Development, 1300 Pennsylvania Ave NW, Washington, DC  20004, United States","Parris, K.M., School of Ecosystem and Forest Sciences, The University of Melbourne, Parkville, VIC  3010, Australia; Amati, M., School of Global, Urban and Social Studies, RMIT University, GPO Box 2476, Melbourne, VIC  3001, Australia; Bekessy, S.A., School of Global, Urban and Social Studies, RMIT University, GPO Box 2476, Melbourne, VIC  3001, Australia; Dagenais, D., School of Urban Planning and Landscape Architecture, Faculty of Environmental Design, University of Montreal, P.O. Box 6128, Downtown Station, Montreal, Quebec  H3C 3J7, Canada; Fryd, O., Department of Geosciences and Natural Resource Management, University of Copenhagen, Rolighedsvej 23, Frederiksberg C, DK-1958, Denmark; Hahs, A.K., School of BioSciences, The University of Melbourne, Parkville, VIC  3010, Australia, Urban Ecology in Action, 15 Dawson St South, Ballarat, VIC  3350, Australia; Hes, D., Faculty of Architecture, Building and Planning, The University of Melbourne, Parkville, VIC  3010, Australia; Imberger, S.J., School of Ecosystem and Forest Sciences, The University of Melbourne, 500 Yarra Boulevard, Richmond, VIC  3121, Australia; Livesley, S.J., School of Ecosystem and Forest Sciences, The University of Melbourne, 500 Yarra Boulevard, Richmond, VIC  3121, Australia; Marshall, A.J., School of Ecosystem and Forest Sciences, The University of Melbourne, 500 Yarra Boulevard, Richmond, VIC  3121, Australia; Rhodes, J.R., School of Geography, Planning and Environmental Management, The University of Queensland, Brisbane, QLD  4072, Australia; Threlfall, C.G., School of Ecosystem and Forest Sciences, The University of Melbourne, Parkville, VIC  3010, Australia; Tingley, R., School of BioSciences, The University of Melbourne, Parkville, VIC  3010, Australia; van der Ree, R., School of BioSciences, The University of Melbourne, Parkville, VIC  3010, Australia, Ecology and Infrastructure International, Wantirna, VIC  3152, Australia; Walsh, C.J., School of Ecosystem and Forest Sciences, The University of Melbourne, 500 Yarra Boulevard, Richmond, VIC  3121, Australia; Wilkerson, M.L., Department of Plant Sciences, University of California, 1 Shields Ave, Davis, CA  95616, United States, United States Agency for International Development, 1300 Pennsylvania Ave NW, Washington, DC  20004, United States; Williams, N.S.G., School of Ecosystem and Forest Sciences, The University of Melbourne, 500 Yarra Boulevard, Richmond, VIC  3121, Australia","Cities tend to be built in areas of high biodiversity, and the accelerating pace of urbanization threatens the persistence of many species and ecological communities globally. However, urban environments also offer unique prospects for biological conservation, with multiple benefits for humans and other species. We present seven ecological principles to conserve and increase the biodiversity of cities, using metaphors to bridge the gap between the languages of built-environment and conservation professionals. We draw upon John Ruskin's famous essay on the seven lamps of architecture, but more generally on the thinking of built-environment pioneers such as Patrick Geddes (1854–1932) who proposed a synoptic view of the urban environment that included humans and non-humans alike. To explain each principle or ‘lamp’ of urban biodiversity, we use an understanding from the built-environment disciplines as a base and demonstrate through metaphor that planning for the more-than-human does not require a conceptual leap. We conclude our discussion with ten practical strategies for turning on these lamps in cities. Urban planners, architects, landscape architects, engineers and other built-environmental professionals have a key role to play in a paradigm shift to plan for the more-than-human, because of their direct influence on the evolving urban environment. This essay is intended to increase dialogue between ecologists and members of these professions, and thus increase the biodiversity of cities around the world. © 2018 The Authors","Architecture; Geddes; Landscape architecture; Planning; Ruskin; Urban ecology","architectural design; biodiversity; planning theory; urban ecosystem; urban planning; urbanization",Article,"Final","",Scopus,2-s2.0-85048732668
"Treiblmaier H., Beck R.","13907073600;7403182380;","Preface Volume II",2018,"Business Transformation through Blockchain: Volume II",,,,"v","vii",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085724731&partnerID=40&md5=be574d54b9cf336444916e261ce544e3","Department of International Management, MODUL University Vienna, Vienna, Austria; Copenhagen, Denmark","Treiblmaier, H., Department of International Management, MODUL University Vienna, Vienna, Austria; Beck, R., Copenhagen, Denmark",[No abstract available],,,Editorial,"Final","",Scopus,2-s2.0-85085724731
"Treiblmaier H., Beck R.","13907073600;7403182380;","Business transformation through blockchain: Volume II",2018,"Business Transformation through Blockchain: Volume II",,,,"1","362",,8,"10.1007/978-3-319-99058-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085724458&doi=10.1007%2f978-3-319-99058-3&partnerID=40&md5=4f0c7a346bcb8a9f8488c8bc575f5f4d","Department of International Management, MODUL University Vienna, Vienna, Austria; Copenhagen, Denmark","Treiblmaier, H., Department of International Management, MODUL University Vienna, Vienna, Austria; Beck, R., Copenhagen, Denmark","The second volume of this edited collection offers a number of contributions from leading scholars investigating Blockchain and its implications for business. Focusing on the transformation of the overall value chain, the sections cover the foundations of Blockchain and its sustainability, social and legal applications. It features a variety of use cases, from tourism to healthcare. Using a number of theoretical and methodological approaches, this innovative publication aims to further the cause of this ground-breaking technology and its use within information technology, supply chain and wider business management research. © The Editor(s) (if applicable) and The Author(s), under exclusive licence to Springer International Publishing AG, part of Springer Nature 2019. All rights reserved.",,,Book,"Final","",Scopus,2-s2.0-85085724458
"Jemielniak J.","8945195400;","How much of a court? The EU Investment Court System as a hybrid mechanism",2018,"China-European Union Investment Relationships: Towards a New Leadership in Global Investment Governance?",,,,"226","246",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076028469&partnerID=40&md5=6d5615ebe5253b2bd48712e0a19acec4","University of Copenhagen, Centre of Excellence for International Courts (iCourts)., Denmark","Jemielniak, J., University of Copenhagen, Centre of Excellence for International Courts (iCourts)., Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85076028469
"Bäckman O., Jakobsen V., Lorentzen T., Österbacka E.","6602347821;36125184700;7005856973;8596574800;","Early school leaving and labour market inclusion in the Nordic countries",2018,"Youth, Diversity and Employment: Comparative Perspectives on Labour Market Policies",,,,"84","105",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075413939&partnerID=40&md5=4ec383a6a0c6ef565b0972a01cbb85e5","Swedish Institute for Social Research (SOFI), Stockholm University, Sweden; VIVE, The Danish Center for Social Science Research, Copenhagen, Denmark; Department of Sociology, University of Bergen, Norway; Faculty of Social Science, Business and Economics, Åbo Akademi University, Finland","Bäckman, O., Swedish Institute for Social Research (SOFI), Stockholm University, Sweden; Jakobsen, V., VIVE, The Danish Center for Social Science Research, Copenhagen, Denmark; Lorentzen, T., Department of Sociology, University of Bergen, Norway; Österbacka, E., Faculty of Social Science, Business and Economics, Åbo Akademi University, Finland",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85075413939
"Arnardóttir O.M., Hotvedt M.J., Nousiainen K., Ventegodt M.","56420009400;57211936655;35194104800;57211936674;","Nordic disability employment laws and policies in a human rights perspective",2018,"Youth, Diversity and Employment: Comparative Perspectives on Labour Market Policies",,,,"150","177",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075412951&partnerID=40&md5=e8d3a17831bcc7de157122f5f593d67c","University of Iceland, Faculty of Law, Reykjavik, Iceland; Department of Private Law, University of Oslo, Norway; Emerita of Comparative Law and Legal Theory, Turku University, Finland; Department of Equal Treatment, Danish Institute for Human Rights, Copenhagen, Denmark","Arnardóttir, O.M., University of Iceland, Faculty of Law, Reykjavik, Iceland; Hotvedt, M.J., Department of Private Law, University of Oslo, Norway; Nousiainen, K., Emerita of Comparative Law and Legal Theory, Turku University, Finland; Ventegodt, M., Department of Equal Treatment, Danish Institute for Human Rights, Copenhagen, Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85075412951
"Kemfert C., Lorenz C., Traber T., Opitz P.","22979916100;55984796000;24802738700;6603381067;","Energy efficiency: A key challenge of the energiewende",2018,"Energiewende ""Made in Germany"": Low Carbon Electricity Sector Reform in the European Context",,,,"173","191",,,"10.1007/978-3-319-95126-3_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063789592&doi=10.1007%2f978-3-319-95126-3_7&partnerID=40&md5=10c595bd5df641e02d102d33af60b89c","DIW Berlin, Berlin, Germany; Hertie School of Governance, Berlin, Germany; German Advisory Council on the Environment (SRU), Berlin, Germany; TU Berlin, Berlin, Germany; DTU Denmark, Copenhagen, Denmark; DIW Econ., Berlin, Germany","Kemfert, C., DIW Berlin, Berlin, Germany, Hertie School of Governance, Berlin, Germany, German Advisory Council on the Environment (SRU), Berlin, Germany; Lorenz, C., DIW Berlin, Berlin, Germany, TU Berlin, Berlin, Germany; Traber, T., DTU Denmark, Copenhagen, Denmark; Opitz, P., DIW Econ., Berlin, Germany",[No abstract available],,"Energiewende; Energy efficiency",Book Chapter,"Final","",Scopus,2-s2.0-85063789592
"Furst J., Fadel Argerich M., Cheng B., Papageorgiou A.","56035958100;57205654454;55538276600;57189198597;","Elastic Services for Edge Computing",2018,"14th International Conference on Network and Service Management, CNSM 2018 and Workshops, 1st International Workshop on High-Precision Networks Operations and Control, HiPNet 2018 and 1st Workshop on Segment Routing and Service Function Chaining, SR+SFC 2018",,,"8584964","358","362",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060941320&partnerID=40&md5=5a906dcb3a14b7e0d815a010f71a6030","NEC Labs Euro, Italy; I2CAT Foundation, Italy; Sapienza Universita di Roma, Italy; IT University of Copenhagen, Denmark","Furst, J., NEC Labs Euro, Italy, IT University of Copenhagen, Denmark; Fadel Argerich, M., NEC Labs Euro, Italy, Sapienza Universita di Roma, Italy; Cheng, B., NEC Labs Euro, Italy; Papageorgiou, A., I2CAT Foundation, Italy","Edge computing enables new, low-latency services close to data producers and consumers. However, edge service management is challenged by high hardware heterogeneity and missing elasticity capabilities. To address these challenges, this paper introduces the concept of elastic services. Elastic services are situation aware and can adapt themselves to the current execution environment dynamically to adhere to their Service Level Objectives (SLOs). This adaptation is achieved through Diversifiable Programming (DivProg), a new programming model which uses function annotations as interface between the service logic, its SLOs, and the execution framework. DivProg enables developers to characterize their services in a way that allows a third-party execution framework to run them with the flow and the parametrization that conforms to changing SLOs. We develop a prototype and perform an experimental evaluation which shows that elastic services can seamlessly adapt to heterogeneous platforms and scale with a wide range of input sizes, while adhering to their SLOs with little programming effort. © 2018 IFIP.","Adaptive; IoT; Programming model; Services","Computation theory; Routing algorithms; Telecommunication services; Adaptive; Execution environments; Execution framework; Experimental evaluation; Heterogeneous platforms; Programming models; Service level objective; Services; Edge computing",Conference Paper,"Final","",Scopus,2-s2.0-85060941320
"James K.M., Campbell N., Vidarsson J.R., Vilas C., Plet-Hansen K.S., Borges L., González O., van Helmond A.T.M., Pérez-Martín R.I., Antelo L.T., Pérez-Bouzada J., Ulrich C.","57216890236;57216891707;56410939700;55882699600;56442759300;56250876700;57216890473;15623460000;7003832237;15922259700;57216890483;7101943343;","Tools and technologies for the monitoring, control and surveillance of unwanted catches",2018,"The European Landing Obligation: Reducing Discards in Complex, Multi-Species and Multi-Jurisdictional Fisheries",,,,"363","382",,11,"10.1007/978-3-030-03308-8_18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085158135&doi=10.1007%2f978-3-030-03308-8_18&partnerID=40&md5=131b9c5290b96c433d6fc83c745dd3ea","Marine Scotland Science, Aberdeen, United Kingdom; Matís ohf. Icelandic food and biotech R and D, Reykjavík, Iceland; Instituto de Investigacións Mariñas (IIM CSIC), Vigo, Spain; DTU Aqua, Technical University of Denmark, Kgs Lyngby, Denmark; FishFix, Brussels, Belgium; Marine Instruments, Nigrán, Spain; Wageningen Marine Research UR, Ijmuiden, CP, Netherlands","James, K.M., Marine Scotland Science, Aberdeen, United Kingdom; Campbell, N., Marine Scotland Science, Aberdeen, United Kingdom; Vidarsson, J.R., Matís ohf. Icelandic food and biotech R and D, Reykjavík, Iceland; Vilas, C., Instituto de Investigacións Mariñas (IIM CSIC), Vigo, Spain; Plet-Hansen, K.S., DTU Aqua, Technical University of Denmark, Kgs Lyngby, Denmark; Borges, L., FishFix, Brussels, Belgium; González, O., Marine Instruments, Nigrán, Spain; van Helmond, A.T.M., Wageningen Marine Research UR, Ijmuiden, CP, Netherlands; Pérez-Martín, R.I., Instituto de Investigacións Mariñas (IIM CSIC), Vigo, Spain; Antelo, L.T., Instituto de Investigacións Mariñas (IIM CSIC), Vigo, Spain; Pérez-Bouzada, J., Marine Instruments, Nigrán, Spain; Ulrich, C., DTU Aqua, Technical University of Denmark, Kgs Lyngby, Denmark","A key requirement for the successful implementation of the Landing Obligation is the need to monitor and regulate unwanted catches at sea. This issue is particularly challenging because of the large number of vessels and trips that need to be monitored and the remoteness of vessels at sea. Several options exist in theory, ranging from patrol vessels to onboard observers and self-sampling. Increasingly though, technology is developing to provide remote Electronic Monitoring (EM) with cameras at lower costs. This chapter first provides an overall synthesis of the pro's and con's of several monitoring tools and technologies. Four EM technologies already trialled in EU fisheries are then summarised. We conclude that it is now possible to conduct reliable and cost-effective monitoring of unwanted catches at sea, especially if various options are used in combination. However, effective monitoring is a necessary condition for the successful implementation of the Landing Obligation but insufficient unless it is implemented with a high level of coverage and with the support of the fishing industry. © The Author(s) 2019.","Compliance; Electronic monitoring; Observers; Unreported discards; Video",,Book Chapter,"Final","",Scopus,2-s2.0-85085158135
"O'Neill F.G., Feekings J., Fryer R.J., Fauconnet L., Afonso P.","7006726858;55203657700;7004362602;37461426000;6604053080;","Discard avoidance by improving fishing gear selectivity: Helping the fishing industry help itself",2018,"The European Landing Obligation: Reducing Discards in Complex, Multi-Species and Multi-Jurisdictional Fisheries",,,,"279","296",,15,"10.1007/978-3-030-03308-8_14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085158088&doi=10.1007%2f978-3-030-03308-8_14&partnerID=40&md5=e55b942478cf559d5611741ed284fef3","Technical University of Denmark, National Institute of Aquatic Resources, Hirtshals, Denmark; Marine Laboratory, Marine Scotland Science, Aberdeen, Scotland, United Kingdom; Marine and Environmental Sciences Centre and OKEANOS Research Unit, Universidade dos Açores, Horta, Portugal","O'Neill, F.G., Technical University of Denmark, National Institute of Aquatic Resources, Hirtshals, Denmark; Feekings, J., Technical University of Denmark, National Institute of Aquatic Resources, Hirtshals, Denmark; Fryer, R.J., Marine Laboratory, Marine Scotland Science, Aberdeen, Scotland, United Kingdom; Fauconnet, L., Marine and Environmental Sciences Centre and OKEANOS Research Unit, Universidade dos Açores, Horta, Portugal; Afonso, P., Marine and Environmental Sciences Centre and OKEANOS Research Unit, Universidade dos Açores, Horta, Portugal","To address the challenges of the Landing Obligation, fishers need to be able to adjust the selective performance of each fishing operation in response to what they observe on the fishing grounds and to what they bring on board. This will include strategies on where and when to fish but also on how to fish, which we examine here. In particular, we focus on ways to encourage and support fishers to design, develop and test selective gears that will avoid unwanted catches in the first place. To this end, we highlight the necessity to increase awareness of existing solutions, the importance of understanding the capture process and how fish react to fishing gears, and the need to evaluate the economic implications of new gears. We examine the success of science-industry collaborations and emphasise the benefits of a flexible regulatory environment. Looking ahead, the fishing industry needs to keep up-to-date with new technologies that can be used to observe the interaction of fish and their gears and with new approaches to modifying selectivity. © The Author(s) 2019.","Catch avoidance; Discard reduction; Fish reactions to fishing gear; Industry participation; Selective fishing gears",,Book Chapter,"Final","",Scopus,2-s2.0-85085158088
