Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Zhang Y., Hay D., Holm C.","57201442827;26643110400;24773318100;","Non-audit services and auditor independence: Norwegian evidence",2016,"Cogent Business and Management","3","1","1215223","","",,12,"10.1080/23311975.2016.1215223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044842345&doi=10.1080%2f23311975.2016.1215223&partnerID=40&md5=aa3bf6475a89e14a3002912ea40071b7","Department of Accounting and Finance, University of Auckland, Auckland, New Zealand; Department of Economics and Business Economics, Aarhus University, Fuglesangs Allé 4, Aarhus V, 8210, Denmark","Zhang, Y., Department of Accounting and Finance, University of Auckland, Auckland, New Zealand; Hay, D., Department of Accounting and Finance, University of Auckland, Auckland, New Zealand; Holm, C., Department of Economics and Business Economics, Aarhus University, Fuglesangs Allé 4, Aarhus V, 8210, Denmark","We examine the effect on auditor independence of auditors providing non-audit services in the Norwegian audit market. We report the results of three tests of independence of mind and one test of independence in appearance. These tests find that there is a positive relationship between audit fees and non-audit fees, which does not suggest loss of independence. Further analysis using two-stage least squares shows that audit and non-audit fees are jointly determined, and the results are still not consistent with loss of independence. There is no relationship between the provision of non-audit services and the frequency with which auditors issue modified audit opinions. There is no association between non-audit services and audit tenure. Finally, we examine the relationship between unexpected or excess non-audit fees and cost of capital. There is no relationship. Our findings fail to find any evidence for loss of independence of mind or loss of independence of appearance as a result of providing non-audit services. © 2016 The Author(s). This open access article is distributed under a Creative Commons Attribution (CC-BY) 4.0 license.","audit opinion; audit tenure; auditing; auditor independence; non-audit fees; Norway",,Article,"Final","",Scopus,2-s2.0-85044842345
"Nordin S., Hjalager A.-M.","36787890600;6603622428;","Doing, using, interacting: Towards a new understanding of tourism innovation processes",2016,"Driving Tourism through Creative Destinations and Activities",,,,"165","180",,9,"10.4018/978-1-5225-2016-0.ch008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016545065&doi=10.4018%2f978-1-5225-2016-0.ch008&partnerID=40&md5=7dbe2ca98303641560bad96eb5e3ee98","ETOUR, Sweden; Uppsala University, Sweden; University of Southern Denmark, Denmark","Nordin, S., ETOUR, Sweden, Uppsala University, Sweden; Hjalager, A.-M., University of Southern Denmark, Denmark","Innovation is a critical factor for long-term economic development, including in tourism. This chapter examines the processes that lead to new products and services in a tourism context. It does so based on two commonly referred to modes of innovation (Jensen et al., 2007); that is, two types of innovation processes: science, technology, and innovation (STI) and doing, using, and interacting (DUI). DUI appears to capture the essence of innovation in tourism enterprises better than STI because it acknowledges the intrinsic nature of services and the typical size and working modes of touristic actors. The case study of Icehotel illustrates how working in partnerships and in close cooperation with customers enhances the advantages of the DUI model. The handling of externally induced events and difficulties and the critical partnerships are better understood through the DUI than through the STI lens. The DUI framework leads to a more correct picture of tourism innovation and could also provide a better guidance for policy processes in the field. © 2017, IGI Global.",,,Book Chapter,"Final","",Scopus,2-s2.0-85016545065
"Myrodia A., Kristjansdottir K., Shafiee S., Hvam L.","56493159600;56633040200;56492736800;6602210561;","Product configuration system and its impact on product's life cycle complexity",2016,"IEEE International Conference on Industrial Engineering and Engineering Management","2016-December",,"7797960","670","674",,5,"10.1109/IEEM.2016.7797960","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009932542&doi=10.1109%2fIEEM.2016.7797960&partnerID=40&md5=28cc744d98c42853eb7ce474dc40a76d","Department of Engineering Management, Technical University of Denmark, Denmark","Myrodia, A., Department of Engineering Management, Technical University of Denmark, Denmark; Kristjansdottir, K., Department of Engineering Management, Technical University of Denmark, Denmark; Shafiee, S., Department of Engineering Management, Technical University of Denmark, Denmark; Hvam, L., Department of Engineering Management, Technical University of Denmark, Denmark","The purpose of this paper is to identify areas throughout a product's lifecycle processes where complexity can be reduced by implementing a product configuration system (PCS). As discussed in the literature, several benefits are realized by using a PCS in terms of product and process standardization. This also leads to control and reduce of complexity both in products and processes. To this end, this research attempts to quantify and assess these benefits and is supported by empirical evidence. A case study of an engineering company is used and the results indicate significant improvements for the company in several life cycle processes. © 2016 IEEE.","Complexity; Engineer-to-order companies Product configuration system (PCS); Product life cycle","Engineering; Industrial engineering; Complexity; Engineering companies; Life-cycle process; nocv1; Process standardizations; Product configuration; Product life cycles; Life cycle",Conference Paper,"Final","",Scopus,2-s2.0-85009932542
"Arica E., Falster P., Hvolby H.H., Strandhagen J.O., Fraser K.","55609059100;6602389513;35614062000;14825916200;23003965600;","Managing unforeseen events in production scheduling and control",2016,"IEEE International Conference on Industrial Engineering and Engineering Management","2016-December",,"7798131","1518","1522",,,"10.1109/IEEM.2016.7798131","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009919893&doi=10.1109%2fIEEM.2016.7798131&partnerID=40&md5=5fa47a769ebaf1d9984870688f05ebd6","SINTEF Technology and Society, Trondheim, Norway; Department of Applied Mathematics and Computer Science, Technical University of Denmark, Denmark; Centre for Logistics, Aalborg University, Denmark; Department of Production and Quality Engineering, Norwegian University of Science and Technology, Norway; Division of Information Technology, Engineering and the Environment, University of South Australia, Australia","Arica, E., SINTEF Technology and Society, Trondheim, Norway, Department of Production and Quality Engineering, Norwegian University of Science and Technology, Norway; Falster, P., Department of Applied Mathematics and Computer Science, Technical University of Denmark, Denmark; Hvolby, H.H., Centre for Logistics, Aalborg University, Denmark; Strandhagen, J.O., Department of Production and Quality Engineering, Norwegian University of Science and Technology, Norway; Fraser, K., Division of Information Technology, Engineering and the Environment, University of South Australia, Australia","The production planning and control process is performed within complex and dynamic organizations made up of customer expectations, equipment, materials, people, information, and technologies. Changes in both internal and external factors can create a variety of unforeseen events, which make initial plans unfeasible or obsolete during production execution. How to effectively handle the unscheduled events and take corrective actions still remains a central question to academics and practitioners. In this paper, we explore this issue through a review of the relevant literature and an in-depth field study. The paper proposes a framework for characterizing and classifying the events and event handling process. © 2016 IEEE.","case study; events; production scheduling and control; uncertainty","Production control; Scheduling; Customer expectation; Dynamic organization; Event handling process; events; Internal and external factors; Production planning and control; Production Scheduling; uncertainty; Process control",Conference Paper,"Final","",Scopus,2-s2.0-85009919893
"Kristjansdottir K., Shafiee S., Hvam L.","56633040200;56492736800;6602210561;","Development and implementation strategy for the of product configuration systems in engineer-to-order companies",2016,"IEEE International Conference on Industrial Engineering and Engineering Management","2016-December",,"7798190","1809","1813",,,"10.1109/IEEM.2016.7798190","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009865377&doi=10.1109%2fIEEM.2016.7798190&partnerID=40&md5=38c6c43ec063ea45c3631b79700c54f3","Management Engineering, Technical University of Denmark, Kgs. Lyngby, Denmark","Kristjansdottir, K., Management Engineering, Technical University of Denmark, Kgs. Lyngby, Denmark; Shafiee, S., Management Engineering, Technical University of Denmark, Kgs. Lyngby, Denmark; Hvam, L., Management Engineering, Technical University of Denmark, Kgs. Lyngby, Denmark","This paper will address how to develop a strategy when developing and implementing product configuration systems (PCSs) in engineer-to-order (ETO) companies. PCSs are often gradually implemented especially where there are complex products and processes in order to break down the overall project and reduce risk. This highlights the importance of having an overall strategy to guide the long-term development and implementation of PCSs In this paper, guideline for making the strategy are provided and supplemented with examples based on a case study. The guideline includes the main objectives for the development and implementation process, PCSs to be used to support the sales and /or the engineering processes, more uniform IT support for making product configurations, combining output from different PCSs and finally integrations that includes both internal and external IT systems. Based on this an overview of how PCSs can support the overall configuration process can be generated. © 2016 IEEE.","Processes improvements; Product configuration system (PCS); Strategy","Engineering; Industrial engineering; Configuration process; Engineer to orders; Engineering process; Implementation process; Implementation strategies; Long-term development; nocv1; Product configuration; Strategy; Planning",Conference Paper,"Final","",Scopus,2-s2.0-85009865377
"Shafiee S., Kristjansdottir K., Hvam L., Felfernig A., Myrodia A.","56492736800;56633040200;6602210561;6701498411;56493159600;","Analysis of visual representation techniques for product configuration systems in industrial companies",2016,"IEEE International Conference on Industrial Engineering and Engineering Management","2016-December",,"7797985","793","797",,2,"10.1109/IEEM.2016.7797985","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009851622&doi=10.1109%2fIEEM.2016.7797985&partnerID=40&md5=40425964497cb6e17939e4936bae0edb","Department of Management Engineering, Technical University of Denmark, Denmark; Institute of Software Technology, Graz University of Technology, Graz, Austria","Shafiee, S., Department of Management Engineering, Technical University of Denmark, Denmark; Kristjansdottir, K., Department of Management Engineering, Technical University of Denmark, Denmark; Hvam, L., Department of Management Engineering, Technical University of Denmark, Denmark; Felfernig, A., Institute of Software Technology, Graz University of Technology, Graz, Austria; Myrodia, A., Department of Management Engineering, Technical University of Denmark, Denmark","In recent years, there has been an increasing demand for customized products. Product configuration systems (PCS) are introduced as one of the most successful systems of artificial intelligent for providing customized products. One of the main challenges in PCSs projects are described in relation with knowledge representations and communications with domain experts. The results presented in the paper are therefore aimed to provide insight into the impact from using visual knowledge representations techniques in PCSs projects. The findings indicate that use of visual knowledge representations techniques in PCSs projects will result in improved quality of maintenance and development support for the knowledge base and improved quality of the communication with domain experts. © 2016 IEEE.","Product configuration system (PCS); product modelling; visual knowledge representation techniques","Knowledge based systems; Artificial intelligent; Customized products; Development support; Industrial companies; Product configuration; Product modelling; Visual knowledge representations; Visual representations; Knowledge representation",Conference Paper,"Final","",Scopus,2-s2.0-85009851622
"Goyal R., Spognardi A., Dragoni N., Argyriou M.","57189905591;8556724500;8308455900;57193158613;","SafeDroid: A distributed malware detection service for android",2016,"Proceedings - 2016 IEEE 9th International Conference on Service-Oriented Computing and Applications, SOCA 2016",,,"7796010","59","66",,23,"10.1109/SOCA.2016.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011269357&doi=10.1109%2fSOCA.2016.14&partnerID=40&md5=c70a7312e33b13ab6fe09c5336ed57fa","DTU Compute, Technical University of Denmark, Denmark; AASS Centre, Örebro University, Sweden","Goyal, R., DTU Compute, Technical University of Denmark, Denmark; Spognardi, A., DTU Compute, Technical University of Denmark, Denmark; Dragoni, N., DTU Compute, Technical University of Denmark, Denmark, AASS Centre, Örebro University, Sweden; Argyriou, M., DTU Compute, Technical University of Denmark, Denmark","Android platform has become a primary target for malware. In this paper we present SafeDroid, an open source distributed service to detect malicious apps on Android by combining static analysis and machine learning techniques. It is composed by three micro-services, working together, combining static analysis and machine learning techniques. SafeDroid has been designed as a user friendly service, providing detailed feedback in case of malware detection. The detection service is optimized to be lightweight and easily updated. The feature set on which the micro-service of detection relies on on has been selected and optimized in order to focus only on the most distinguishing characteristics of the Android apps. We present a prototype to show the effectiveness of the detection mechanism service and the feasibility of the approach. © 2016 IEEE.",,"Artificial intelligence; Computer crime; Distributed computer systems; Learning algorithms; Learning systems; Malware; Static analysis; Android platforms; Detailed feedbacks; Detection mechanism; Distributed service; Machine learning techniques; Malware detection; Micro services; User friendly; Android (operating system)",Conference Paper,"Final","",Scopus,2-s2.0-85011269357
"Pitkänen K., Antikainen R., Droste N., Loiseau E., Saikku L., Aissani L., Hansjürgens B., Kuikman P.J., Leskinen P., Thomsen M.","24466668900;8255538200;56373096400;55344321800;15844188400;54885746000;6603241929;26643533600;6602130303;55499680500;","What can be learned from practical cases of green economy? –studies from five European countries",2016,"Journal of Cleaner Production","139",,,"666","676",,61,"10.1016/j.jclepro.2016.08.071","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995674838&doi=10.1016%2fj.jclepro.2016.08.071&partnerID=40&md5=c951d39c8ed35e59dff73cd90c7e7bdd","Finnish Environment Institute (SYKE), Environmental Policy Centre, P.O. Box 111, Joensuu, FI-80101, Finland; Finnish Environment Institute (SYKE), Consumption and Production Centre, P.O. Box 140, Helsinki, FI-00251, Finland; UFZ, Helmholtz Centre for Environmental Research, Permoserstr. 15, Leipzig, 04318, Germany; Irstea, UMR ITAP, Elsa Research Group for Environmental Lifecycle and Sustainability Assessment, 361 rue J. F. Breton, Montpellier Cedex 5, 34196, France; Irstea, UR GERE, 17 Avenue de Cucillé, 64427, Rennes Cedex, CS  F-35044, France; Alterra Wageningen UR, Droevendaalsesteeg 4, 6708PB, Wageningen, Netherlands; Aarhus University, Department of Environmental Science, Research Group on EcoIndustrial System Analysis, Frederiksborgvej 399, Postboks 358, Roskilde, DK-4000, Denmark","Pitkänen, K., Finnish Environment Institute (SYKE), Environmental Policy Centre, P.O. Box 111, Joensuu, FI-80101, Finland; Antikainen, R., Finnish Environment Institute (SYKE), Consumption and Production Centre, P.O. Box 140, Helsinki, FI-00251, Finland; Droste, N., UFZ, Helmholtz Centre for Environmental Research, Permoserstr. 15, Leipzig, 04318, Germany; Loiseau, E., Irstea, UMR ITAP, Elsa Research Group for Environmental Lifecycle and Sustainability Assessment, 361 rue J. F. Breton, Montpellier Cedex 5, 34196, France; Saikku, L., Finnish Environment Institute (SYKE), Consumption and Production Centre, P.O. Box 140, Helsinki, FI-00251, Finland; Aissani, L., Irstea, UR GERE, 17 Avenue de Cucillé, 64427, Rennes Cedex, CS  F-35044, France; Hansjürgens, B., UFZ, Helmholtz Centre for Environmental Research, Permoserstr. 15, Leipzig, 04318, Germany; Kuikman, P.J., Alterra Wageningen UR, Droevendaalsesteeg 4, 6708PB, Wageningen, Netherlands; Leskinen, P., Finnish Environment Institute (SYKE), Consumption and Production Centre, P.O. Box 140, Helsinki, FI-00251, Finland; Thomsen, M., Aarhus University, Department of Environmental Science, Research Group on EcoIndustrial System Analysis, Frederiksborgvej 399, Postboks 358, Roskilde, DK-4000, Denmark","The transition to green economies has been mediated by concrete cases and experiments in a variety of different industrial and social sectors. What is lacking, is research that would synthesize key findings and “lessons learned” across a variety of cases. In this study, we explore ten cases of green economy of different sectors and approaches from five European countries and identify factors that have had critical importance for the success or failure of the cases. Our paper reveals similarities across small and large scale cases and different approaches for implementing green economy. We identified critical factors related to economic viability, public funding, technological development, impact assessments, public policies and regulation, social capital, leadership and coordination as well as public acceptability and image. According to our results, transition to green economies requires negotiation between potential trade-offs among multiple goals, and interests of various stakeholders. The mutual benefits can be communicated through valid impact assessments and the integration of R&D into the practical implementation. Securing the continuity of funding and leadership is crucial in successful experiments and attention should be paid to fostering social capital among stakeholders. Instead of any single critical factor, the practical implementation of green economy is related to a multiplicity of factors and causalities depending on the context. The challenges with the practical implementation of green economy can only be met with patient, careful and far-sighted planning of green economy initiatives as well as continuous learning from past experiences. © 2016 Elsevier Ltd","Bioeconomy; Case studies; Circular economy; Critical factors; Green economy; Practical implementation","Industrial engineering; Production engineering; Bioeconomy; Case-studies; Circular economy; Critical factors; Green economies; Practical implementation; Economic and social effects",Article,"Final","",Scopus,2-s2.0-84995674838
"Gargalo C.L., Cheali P., Posada J.A., Carvalho A., Gernaey K.V., Sin G.","56089439000;55765345400;35771590000;57190838427;6701767327;6602970650;","Assessing the environmental sustainability of early stage design for bioprocesses under uncertainties: An analysis of glycerol bioconversion",2016,"Journal of Cleaner Production","139",,,"1245","1260",,28,"10.1016/j.jclepro.2016.08.156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995654946&doi=10.1016%2fj.jclepro.2016.08.156&partnerID=40&md5=0b9a36edabea3883a0d5d1668e785538","CAPEC-PROCESS Research Center, Department of Chemical and Biochemical Engineering, Technical University of Denmark, Building 229, Kgs. Lyngby, 2800, Denmark; Section Biotechnology & Society, Department of Biotechnology, Faculty of Applied Sciences, Delft University of Technology, Julianalaan 67, Delft, 2628BC, Netherlands; CEG-IST, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1, Lisboa, 1049-001, Portugal","Gargalo, C.L., CAPEC-PROCESS Research Center, Department of Chemical and Biochemical Engineering, Technical University of Denmark, Building 229, Kgs. Lyngby, 2800, Denmark; Cheali, P., CAPEC-PROCESS Research Center, Department of Chemical and Biochemical Engineering, Technical University of Denmark, Building 229, Kgs. Lyngby, 2800, Denmark; Posada, J.A., Section Biotechnology & Society, Department of Biotechnology, Faculty of Applied Sciences, Delft University of Technology, Julianalaan 67, Delft, 2628BC, Netherlands; Carvalho, A., CEG-IST, Instituto Superior Técnico, Universidade de Lisboa, Av. Rovisco Pais, 1, Lisboa, 1049-001, Portugal; Gernaey, K.V., CAPEC-PROCESS Research Center, Department of Chemical and Biochemical Engineering, Technical University of Denmark, Building 229, Kgs. Lyngby, 2800, Denmark; Sin, G., CAPEC-PROCESS Research Center, Department of Chemical and Biochemical Engineering, Technical University of Denmark, Building 229, Kgs. Lyngby, 2800, Denmark","The development of a bio-based economy is seen as a key strategy towards a sustainable society in a world facing climate change, energy security and social distress. However, since substantial uncertainty is involved in early-stage design analyses, the ranking and identification of potential sustainable solutions is a challenging task. This work aims at facilitating the environmental sustainability assessment under uncertainty at the conceptual design of bioprocesses. This, in turn, enables screening design alternatives, and establishing a ranking of the most promising pathways. To this end, a step-wise methodology has been proposed to assist decision-makers to: (i) collect and generate the input data for bioprocesses; (ii) systematically reduce uncertainty concerning the material fluxes at the early stage design of bioprocesses, reducing overall uncertainty in the life cycle inventory; (iii) handle parameter uncertainty, by applying the Monte Carlo technique for the propagation of uncertainty in characterization factors to the potential impact categories' outcomes; (iv) establish sound quantitative thresholds for alternatives comparison by incorporating a probabilistic interpretation; and lastly, (v) rank the alternatives within the design space. Finally, the methodology's applicability is highlighted by screening early-stage glycerol bioconversion routes to value-added chemicals for future biorefinery concepts. Through the proposed methodology, it was demonstrated that the statistical approach suggested ensures consistent and robust ranking of alternatives; thereby identifying lactic acid as the best potential environmentally sustainable alternative within the design space. © 2016 Elsevier Ltd","Bioprocesses; Characterization factors (CFs); Early stage design; Glycerol biorefinery; Life cycle environmental assessment; Uncertainty analysis","Bioconversion; Climate change; Conceptual design; Decision making; Energy security; Glycerol; Lactic acid; Life cycle; Monte Carlo methods; Refining; Sustainable development; Bioprocesses; Biorefineries; Characterization factors; Early stage designs; Environmental assessment; Uncertainty analysis",Article,"Final","",Scopus,2-s2.0-84995654946
"Ryberg M.W., Owsianiak M., Richardson K., Hauschild M.Z.","55698504100;23668386500;7202201972;57204577690;","Challenges in implementing a Planetary Boundaries based Life-Cycle Impact Assessment methodology",2016,"Journal of Cleaner Production","139",,,"450","459",,64,"10.1016/j.jclepro.2016.08.074","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995596126&doi=10.1016%2fj.jclepro.2016.08.074&partnerID=40&md5=e2ac2eb0ef3d254266edfe38942a6579","Division for Quantitative Sustainability Assessment, Department of Management Engineering, Technical University of Denmark, Produktionstorvet, Building 424, Kgs. Lyngby, 2800, Denmark; Center for Macroecology, Evolution and Climate, University of Copenhagen, Natural History Museum of Denmark, Universitetsparken 15, Building 3, Copenhagen, 2100, Denmark","Ryberg, M.W., Division for Quantitative Sustainability Assessment, Department of Management Engineering, Technical University of Denmark, Produktionstorvet, Building 424, Kgs. Lyngby, 2800, Denmark; Owsianiak, M., Division for Quantitative Sustainability Assessment, Department of Management Engineering, Technical University of Denmark, Produktionstorvet, Building 424, Kgs. Lyngby, 2800, Denmark; Richardson, K., Center for Macroecology, Evolution and Climate, University of Copenhagen, Natural History Museum of Denmark, Universitetsparken 15, Building 3, Copenhagen, 2100, Denmark; Hauschild, M.Z., Division for Quantitative Sustainability Assessment, Department of Management Engineering, Technical University of Denmark, Produktionstorvet, Building 424, Kgs. Lyngby, 2800, Denmark","Impacts on the environment from human activities are now threatening to exceed thresholds for central Earth System processes, potentially moving the Earth System out of the Holocene state. To avoid such consequences, the concept of Planetary Boundaries was defined in 2009, and updated in 2015, for a number of processes which are essential for maintaining the Earth System in its present state. Life-Cycle Assessment was identified as a suitable tool for linking human activities to the Planetary Boundaries. However, to facilitate proper use of Life-Cycle Assessment for non-global environmental management based on the Planetary Boundaries, there is a need for linking non-global activities to impacts on a planetary level. In this study, challenges related to development and operationalization of a Planetary Boundary based Life-Cycle Impact Assessment method are identified and the feasibility of resolving the challenges and developing such methodology is discussed. The challenges are related to technical issues, i.e., modelling and including the Earth System processes and their control variables as impact categories in Life-Cycle Impact Assessment and to theoretical considerations with respect to the interpretation and use of Life-Cycle Assessment results in accordance with the Planetary Boundary framework. The identified challenges require additional research before a Planetary Boundaries based Life-Cycle Impact Assessment method can be developed. Research on modelling the impacts on Earth System processes and on allocation of and entitlement to the ‘safe operating space’ appear to be most urgent for operationalizing a Planetary Boundaries based Life-Cycle Impact Assessment method. The results of a Planetary Boundaries based Life-Cycle Impact Assessment would be highly relevant and could provide novel insights on the environmental performance and sustainability of products and systems. © 2016 Elsevier Ltd","Absolute sustainability; Life-Cycle Assessment; Sustainability","Earth (planet); Environmental management; Sustainable development; Control variable; Earth systems; Environmental performance; Holocenes; Human activities; Life Cycle Assessment (LCA); Life cycle impact assessment; Life cycle",Article,"Final","",Scopus,2-s2.0-84995596126
