Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Capps T., Hopper T., Mouritsen J., Cooper D., Lowe T.","57190532842;7004149668;6601982809;57212695061;57192482492;","Accounting in the production and reproduction of culture",2015,"Critical Perspectives in Management Control",,,,"217","243",,16,"10.1007/978-1-349-07658-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006604974&doi=10.1007%2f978-1-349-07658-1&partnerID=40&md5=520123f3de517e594bbfb7252c9f689e","Department of Accounting and Finance, University of Manchester, United Kingdom; Copenhagen School of Business Administration, Denmark; University of Manchester, Institute of Science and Technology, United Kingdom; University of Sheffield, United Kingdom","Capps, T.; Hopper, T., Department of Accounting and Finance, University of Manchester, United Kingdom; Mouritsen, J., Copenhagen School of Business Administration, Denmark; Cooper, D., University of Manchester, Institute of Science and Technology, United Kingdom; Lowe, T., University of Sheffield, United Kingdom",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85006604974
"Kaup F., Michelinakis F., Bui N., Widmer J., Wac K., Hausheer D.","56081119300;56444470200;15622761600;57204253976;6507639967;23492373600;","Behind the NAT - A measurement based evaluation of cellular service quality",2015,"Proceedings of the 11th International Conference on Network and Service Management, CNSM 2015",,,"7367363","228","236",,7,"10.1109/CNSM.2015.7367363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964042564&doi=10.1109%2fCNSM.2015.7367363&partnerID=40&md5=9ae2e037e64c1d0d3bcf85b6951b6259","Peer-to-Peer Systems Engineering Lab, Technische Universität Darmstadt, Germany; IMDEA Networks Institute, Spain; Universidad Carlos III de Madri, Spain; Université de Genève, Switzerland; University of Copenhagen, Denmark","Kaup, F., Peer-to-Peer Systems Engineering Lab, Technische Universität Darmstadt, Germany; Michelinakis, F., IMDEA Networks Institute, Spain, Universidad Carlos III de Madri, Spain; Bui, N., IMDEA Networks Institute, Spain, Universidad Carlos III de Madri, Spain; Widmer, J., IMDEA Networks Institute, Spain; Wac, K., Université de Genève, Switzerland, University of Copenhagen, Denmark; Hausheer, D., Peer-to-Peer Systems Engineering Lab, Technische Universität Darmstadt, Germany","Mobile applications such as VoIP, (live) gaming, or video streaming have diverse QoS requirements ranging from low delay to high throughput. The optimization of the network quality experienced by end-users requires detailed knowledge of the expected network performance. Also, the achieved service quality is affected by a number of factors, including network operator and available technologies. However, most studies focusing on measuring the cellular network do not consider the performance implications of network configuration and management. To this end, this paper reports about an extensive data set of cellular network measurements, focused on analyzing root causes of mobile network performance variability. Measurements conducted over four weeks in a 4G cellular network in Germany show that management and configuration decisions have a substantial impact on the performance. Specifically, it is observed that the association of mobile devices to a Point of Presence (PoP) within the operator's network can influence the end-to-end RTT by a large extent. Given the collected data a model predicting the PoP assignment and its resulting RTT leveraging Markov Chain and machine learning approaches is developed. RTT increases of 58% to 73% compared to the optimum performance are observed in more than 57% of the measurements. © 2015 IFIP.",,"Artificial intelligence; Internet telephony; Learning systems; Markov processes; Mobile devices; Mobile telecommunication systems; Network performance; Telecommunication networks; Video streaming; Wireless networks; Cellular services; Machine learning approaches; Measurement-based; Mobile applications; Network configuration; Network qualities; Number of factors; Optimum performance; Quality of service",Conference Paper,"Final","",Scopus,2-s2.0-84964042564
"Mazza C., Pedersen J.S.","55824638300;42862622500;","Good reading makes good action: Nothing so practical as a managerial panacea?",2015,"Handbook of Research on Management Ideas and Panaceas: Adaptation and Context",,,,"338","359",,,"10.4337/9781783475605.00034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039548172&doi=10.4337%2f9781783475605.00034&partnerID=40&md5=430b2af921127f37ed7c00e881a24f9d","University of Roma 'La Sapienza', Italy; Copenhagen Business School, Denmark","Mazza, C., University of Roma 'La Sapienza', Italy; Pedersen, J.S., Copenhagen Business School, Denmark",[No abstract available],,,Book Chapter,"Final","",Scopus,2-s2.0-85039548172
"Kuada J.","6505761119;","The human side of economic development in Africa: a paradigm shift",2015,"African Journal of Economic and Management Studies","6","4",,"334","342",,,"10.1108/AJEMS-09-2015-0104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947424124&doi=10.1108%2fAJEMS-09-2015-0104&partnerID=40&md5=a9714dd9219ebefa4c2a1d6d5b31ec94","Centre for International Business, Department of Business & Management, Aalborg University, Aalborg, Denmark","Kuada, J., Centre for International Business, Department of Business & Management, Aalborg University, Aalborg, Denmark","Purpose – This editorial builds on the distinction between soft and hard economics and discusses dominant explanations for the development challenges of Sub-Sahara African (SSA) countries. It also seeks to offer a backdrop for the papers in the present volume of AJEMS. The paper aims to discuss these issues. Design/methodology/approach – It is based on a review of a selection of literature that highlights the dominant perspectives in neoclassical economics and competing streams of research that provide alternative perspectives. Findings – The review suggests the emergence of a competing paradigm that focuses attention on the human factor in economic growth process – i.e. the development of human capability as a foundation of sustainable inclusive growth. The competing streams of research seem to co-exist today, but there are potentials for paradigmatic criss-crossing in future research. Originality/value – It provides directions for future research into issues of economic growth and poverty alleviation in SSA. © 2015, Emerald Group Publishing Limited.","Africa; Economic development; Economic growth; Institutional economics; Neoclassical economics; Paradigm shift soft economics",,Article,"Final","",Scopus,2-s2.0-84947424124
"Jantz B., Reichborn-Kjennerud K., Vrangbaek K.","55789121800;41262157900;6506628575;","Control and Autonomy—The SAIs in Norway, Denmark, and Germany as Watchdogs in an NPM-Era?",2015,"International Journal of Public Administration","38","13-14",,"960","970",,6,"10.1080/01900692.2015.1069839","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948661210&doi=10.1080%2f01900692.2015.1069839&partnerID=40&md5=b7de32b949fb710fb2d490fa935c65f1","Department of Economic and Social Sciences, University of Potsdam, Potsdam, Germany; College of Applied Sciences, Oslo and Akershus University, Oslo, Norway; Political Science and Public Health Department, University of Copenhagen, Copenhagen, Denmark","Jantz, B., Department of Economic and Social Sciences, University of Potsdam, Potsdam, Germany; Reichborn-Kjennerud, K., College of Applied Sciences, Oslo and Akershus University, Oslo, Norway; Vrangbaek, K., Political Science and Public Health Department, University of Copenhagen, Copenhagen, Denmark","New public management (NPM) reforms have weakened the direct steering capacity within state bureaucracy. This article looks into how supreme audit institutions in three countries (Norway, Denmark, and Germany) assess these types of reforms. The analysis shows that all three SAIs have taken on an evaluative role when judging NPM instruments. At the same time their emphasis on legality and compliance can be at odds with some of the operating principles in NPM. All in all the German SAI seems to be the most radical critic. This may be linked to the lack of openness of the German SAIs results that makes it more internally focused within a mindset of administrative accountability. Copyright © Taylor & Francis Group, LLC.","accountability; autonomy; control; new public management; supreme audit institutions",,Article,"Final","",Scopus,2-s2.0-84948661210
"Krogstie L., Ebro M., Howard T.J.","55769730200;55781634100;23492546400;","How to implement and apply robust design: insights from industrial practice",2015,"Total Quality Management and Business Excellence","26","11-12",,"1387","1405",,13,"10.1080/14783363.2014.934520","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947490469&doi=10.1080%2f14783363.2014.934520&partnerID=40&md5=c0df643139c0d8de94e9815e33887a98","Department of Technology and Management, HiG, Gjøvik University College (GuC), Gjøvik, Norway; Department of Production and Quality Engineering, NTNU, Norwegian University of Science and Technology, Trondheim, Norway; Department of Mechanical Engineering, DTU, Technical University of Denmark, Kongens Lyngby, Denmark; Valcon, Robust Design Group, Copenhagen, Denmark","Krogstie, L., Department of Technology and Management, HiG, Gjøvik University College (GuC), Gjøvik, Norway, Department of Production and Quality Engineering, NTNU, Norwegian University of Science and Technology, Trondheim, Norway; Ebro, M., Department of Mechanical Engineering, DTU, Technical University of Denmark, Kongens Lyngby, Denmark, Valcon, Robust Design Group, Copenhagen, Denmark; Howard, T.J., Department of Mechanical Engineering, DTU, Technical University of Denmark, Kongens Lyngby, Denmark","Robust design (RD) is a framework for designing products and processes which perform consistently in spite of variations. Although it is well described in literature, research shows limited industrial application. The purpose of this paper is to describe and discuss industrial best-practice on RD. Empirical findings are based on a series of semi-structured interviews with four major engineering companies in Northern Europe. We present why they were motivated to use RD, how it has been implemented and currently applied. Success factors for solving implementation challenges are also presented and the experienced effects of adopting it are described. The key findings are: (1) Training, roles, and responsibilities: All companies have given substantial training to their engineers and have implemented new roles with technical responsibility, (2) RD implementation is context dependent: The four case companies have all been successful in using RD but with quite different approaches, depending on, for example, their organisational culture, and (3) Not just management commitment, but also true management competencies in RD are essential for a successful implementation. The paper is aimed at professionals and researchers within the field of engineering design, considering why, if, and how to implement and apply RD in an organisation. © 2014 Taylor & Francis.","implementation; industrial practice; management strategy; product development; robust design; success factors; tolerances; variation",,Article,"Final","",Scopus,2-s2.0-84947490469
"Karnoe A., Kayser L.","57192188252;7004289406;","How is eHealth literacy measured and what do the measurements tell us? A systematic review",2015,"Knowledge Management and E-Learning","7","4",,"576","600",,60,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000623671&partnerID=40&md5=407e27ea00eebc217011538586644088","Department of Public Health, University of Copenhagen, Copenhagen, Denmark","Karnoe, A., Department of Public Health, University of Copenhagen, Copenhagen, Denmark; Kayser, L., Department of Public Health, University of Copenhagen, Copenhagen, Denmark","The increasing use of digital services and technologies in health care calls for effective tools to evaluate the users' eHealth literacy in order to better understand the users' interaction with health technologies. We here present a systematic review of existing tools to measure eHealth literacy and for what these tools have been used to investigate. We identified eight tools, of which three of them are bases upon a conceptual model of eHealth literacy and the remaining five are dual tools, i.a. comprised of individual measures for health literacy and digital literacy. Of these eight tools, only one tool (The eHealth literacy Scale - eHEALS) was used in other studies than the one it was originally published in. eHEALS has primarily been used to establish eHealth literacy levels in different populations. Five of the studies have been conducted by examining eHealth literacy's impact on health outcomes, and one study has established an association between high eHealth literacy levels and increased likelihood of attending colorectal cancer screenings in a Japanese population. The two other concept-based tools, eHLS and PRE-HIT, reflect an elaborated understanding of eHealth literacy. The five dual tools were primarily used to screen for adequate and inadequate health literacy and digital literacy. In conclusion, there is very little knowledge about individuals' eHealth literacy and how it relates to health outcomes or the clinical course of specific diseases. New tools developed for the new age of social media and new technologies should be used as eHEALS may have some limitations.","Digital services; eHealth; Literacy; Measurements; Technology",,Review,"Final","",Scopus,2-s2.0-85000623671
"Norgaard O., Furstrand D., Klokker L., Karnoe A., Batterham R., Kayser L., Osborne R.H.","35772642400;57023892800;55884404600;57192188252;7004418516;7004289406;7101890122;","The e-health literacy framework: A conceptual framework for characterizing e-health users and their interaction with e-health systems",2015,"Knowledge Management and E-Learning","7","4",,"522","540",,91,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85000399026&partnerID=40&md5=a46243b31ff7f01f213bd11bab6b4736","Department of Public Health, University of Copenhagen, Copenhagen, Denmark; Danish Cancer Society, Copenhagen, Denmark; Parker Institute, Department of Rheumatology, Bispebjerg and Frederiksberg Hospital, Denmark; Faculty of Health, Deakin University, Melbourne, Australia","Norgaard, O., Department of Public Health, University of Copenhagen, Copenhagen, Denmark; Furstrand, D., Department of Public Health, University of Copenhagen, Copenhagen, Denmark, Danish Cancer Society, Copenhagen, Denmark; Klokker, L., Parker Institute, Department of Rheumatology, Bispebjerg and Frederiksberg Hospital, Denmark; Karnoe, A., Department of Public Health, University of Copenhagen, Copenhagen, Denmark; Batterham, R., Faculty of Health, Deakin University, Melbourne, Australia; Kayser, L., Department of Public Health, University of Copenhagen, Copenhagen, Denmark; Osborne, R.H., Faculty of Health, Deakin University, Melbourne, Australia","In current e-health research and development there is a need for a broader understanding of the capabilities and resources required for individuals to use and benefit from e-health services, i.e. their e-health literacy. The aim of this study was to develop a new conceptualisation of e-health literacy with consideration of the experiences of a wide range of stakeholders and in alignment with current technologies. Concept mapping was used to generate a comprehensive and grounded model of e-health literacy. Concept mapping workshop participants included patients, health professionals and medical informatics experts. Eight workshops, carried out in Denmark and United Kingdom, generated 450 statements, separated into 128 clusters. Through an inductive structured analysis, seven domains were identified: 1. Ability to process information, 2. Engagement in own health, 3. Ability to engage actively with digital services, 4. Feeling safe and in control, 5. Motivation to engage with digital services, 6. Having access to systems that work, and 7. Digital services that suit individual needs. These empirically derived domains form an e-health literacy framework (eHLF) and provide new insights into the user's ability to understand, access and use e-health technologies. The eHLF offers a framework for evaluating an individual's or a population's capacity to understand, use and benefit from technology to promote and maintain their health. Such a framework also provides a potential checklist for the development and improvement of e-health services.","e-Health; Framework; Interaction; Literacy; Technology",,Article,"Final","",Scopus,2-s2.0-85000399026
"Datta Gupta N., Larsen M., Thomsen L.S.","55666844700;20734790100;57190680729;","Do wage subsidies for disabled workers reduce their non-employment? - evidence from the Danish Flexjob scheme",2015,"IZA Journal of Labor Policy","4","1","10","","",,6,"10.1186/s40173-015-0036-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983542228&doi=10.1186%2fs40173-015-0036-7&partnerID=40&md5=8937b71f4759334d70b6d2a79cd2fe92","Department of Economics and Business, Aarhus University, Aarhus, Denmark and IZA, Bonn, Germany; SFI-The Danish National Centre for Social Research, Copenhagen, Denmark; SFI-The Danish National Centre for Social Research, Copenhagen, Denmark","Datta Gupta, N., Department of Economics and Business, Aarhus University, Aarhus, Denmark and IZA, Bonn, Germany; Larsen, M., SFI-The Danish National Centre for Social Research, Copenhagen, Denmark; Thomsen, L.S., SFI-The Danish National Centre for Social Research, Copenhagen, Denmark","We evaluate the potential of wage subsidy programs for reducing non-employment of the disabled by exploiting a reform of the Danish Flexjob scheme targeted towards employing the long-term (partially) disabled. Firms received a salary reimbursement for all employees granted a Flexjob. We examine whether a change from full to partial reimbursement to governmental units affected the share of Flexjobs allocated to retained (insiders) versus non-employed hirees (outsiders). After the reform, the composition of hires changed substantially in favor of insiders, both in absolute and relative terms. A reduction in subsidies thus leads to a decrease in the hiring of the non-employed disabled. JEL Codes: I38, J14, C21 © 2015, Datta Gupta et al.; licensee Springer.","Difference-in-differences; Disability; Non-employment; Wage subsidies",,Article,"Final","",Scopus,2-s2.0-84983542228
"Issa I.I., Pigosso D.C.A., McAloone T.C., Rozenfeld H.","57196004432;34979361600;6508239327;6602073036;","Leading product-related environmental performance indicators: a selection guide and database",2015,"Journal of Cleaner Production","108","PartA",,"321","330",,36,"10.1016/j.jclepro.2015.06.088","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978185805&doi=10.1016%2fj.jclepro.2015.06.088&partnerID=40&md5=c1ceb1e328093b58a27d43090705d199","Department of Production Engineering, University of São Paulo, São Carlos, Brazil; Department of Mechanical Engineering, Technical University of Denmark, Lyngby, Denmark","Issa, I.I., Department of Production Engineering, University of São Paulo, São Carlos, Brazil; Pigosso, D.C.A., Department of Mechanical Engineering, Technical University of Denmark, Lyngby, Denmark; McAloone, T.C., Department of Mechanical Engineering, Technical University of Denmark, Lyngby, Denmark; Rozenfeld, H., Department of Production Engineering, University of São Paulo, São Carlos, Brazil","Ecodesign is a proactive environmental management and improvement approach employed in the product development process, which aims to minimize the environmental impacts caused during a product's life cycle and thus improve its environmental performance. The establishment of measurable environmental performance indicators for the product development process is often cited as a successful factor for effective ecodesign implementation, since it enables setting targets and monitoring achievements towards the accomplishment of environmental ambitions. However, companies still face difficulties in the selection and application of environmental performance indicators – a more structured approach is still lacking. This paper presents the efforts made to identify and systematize existing leading product-related environmental performance indicators, based on a systematic literature review, and to develop a guide to support the selection of these indicators by manufacturing companies. From the review, 261 environmental performance indicators were identified and systematized in a digital database. The database supports the application of the environmental performance indicators guide, which proposes a five-step approach to support the selection of indicators. Based on improvement opportunities identified from a case study for theory-testing in Denmark, an improved version of the guide was developed and subsequently applied in a case study in Brazil. The results from both evaluations indicate that the guide supported the studied companies in the selection of environmental performance indicators in the context of ecodesign implementation. This paper presents the results of the literature review, the systematization of environmental performance indicators and the support guide. © 2015 Elsevier Ltd","Ecodesign management; Environmental performance indicators (EPIs); Product development","Benchmarking; Database systems; Ecodesign; Environmental impact; Life cycle; Product development; Digital database; Environmental performance; Environmental performance indicators; Literature reviews; Manufacturing companies; Product development process; Structured approach; Systematic literature review; Environmental management",Article,"Final","",Scopus,2-s2.0-84978185805
